Date,Open,High,Low,Close,Adj Close,Volume
1985-01-02,9.875000,9.890625,9.718750,9.796875,1.003079,772800
1985-01-03,9.812500,9.906250,9.718750,9.765625,0.999879,1835200
1985-01-04,9.734375,9.765625,9.703125,9.750000,0.998279,2045600
1985-01-07,9.812500,9.843750,9.765625,9.843750,1.007878,725600
1985-01-08,9.812500,9.859375,9.718750,9.750000,0.998279,1064000
1985-01-09,9.796875,9.875000,9.796875,9.828125,1.006278,1321600
1985-01-10,9.828125,9.921875,9.765625,9.875000,1.011077,3328800
1985-01-11,9.921875,10.000000,9.828125,10.000000,1.023876,1792000
1985-01-14,9.968750,10.187500,9.953125,10.156250,1.039874,1712000
1985-01-15,10.250000,10.328125,10.156250,10.234375,1.047873,4849600
1985-01-16,10.265625,10.281250,10.187500,10.218750,1.046274,3081600
1985-01-17,10.250000,10.250000,10.171875,10.187500,1.043074,1724000
1985-01-18,10.234375,10.281250,10.156250,10.156250,1.039874,1880800
1985-01-21,10.187500,10.546875,10.156250,10.500000,1.075070,6085600
1985-01-22,10.531250,10.531250,10.406250,10.437500,1.068670,2243200
1985-01-23,10.484375,10.546875,10.375000,10.546875,1.079869,1799200
1985-01-24,10.546875,10.546875,10.375000,10.421875,1.067071,1627200
1985-01-25,10.437500,10.500000,10.406250,10.421875,1.067071,1984000
1985-01-28,10.437500,10.546875,10.218750,10.406250,1.065472,2135200
1985-01-29,10.406250,10.406250,10.250000,10.406250,1.065472,1407200
1985-01-30,10.500000,10.578125,10.468750,10.531250,1.078270,4605600
1985-01-31,10.531250,10.593750,10.468750,10.546875,1.079869,1340000
1985-02-01,10.500000,10.593750,10.468750,10.468750,1.071870,1824000
1985-02-04,10.437500,10.750000,10.406250,10.750000,1.100667,4168800
1985-02-05,10.718750,10.718750,10.593750,10.625000,1.087868,3810400
1985-02-06,10.609375,10.656250,10.468750,10.468750,1.071870,2060000
1985-02-07,10.484375,10.640625,10.484375,10.625000,1.087868,2596000
1985-02-08,10.640625,10.703125,10.593750,10.687500,1.094267,1544800
1985-02-11,10.671875,10.671875,10.578125,10.640625,1.089468,1220800
1985-02-12,10.546875,10.609375,10.500000,10.546875,1.079869,1999200
1985-02-13,10.546875,10.703125,10.531250,10.593750,1.084669,2977600
1985-02-14,10.656250,10.656250,10.406250,10.500000,1.075070,2528000
1985-02-15,10.406250,10.468750,10.265625,10.296875,1.065370,2346400
1985-02-19,10.328125,10.343750,10.296875,10.328125,1.068604,1290400
1985-02-20,10.343750,10.406250,10.265625,10.359375,1.071837,2634400
1985-02-21,10.328125,10.359375,10.281250,10.296875,1.065370,1360000
1985-02-22,10.312500,10.406250,10.312500,10.312500,1.066987,860800
1985-02-25,10.343750,10.468750,10.343750,10.468750,1.083154,1125600
1985-02-26,10.468750,10.546875,10.421875,10.484375,1.084770,2120800
1985-02-27,10.421875,10.437500,10.218750,10.296875,1.065370,2435200
1985-02-28,10.281250,10.296875,10.203125,10.250000,1.060521,2398400
1985-03-01,10.250000,10.500000,10.250000,10.500000,1.086387,3621600
1985-03-04,10.500000,10.500000,10.375000,10.437500,1.079920,1326400
1985-03-05,10.500000,10.546875,10.406250,10.546875,1.091237,2003200
1985-03-06,10.500000,10.500000,10.281250,10.375000,1.073454,2668800
1985-03-07,10.296875,10.343750,10.250000,10.343750,1.070220,1830400
1985-03-08,10.343750,10.390625,10.218750,10.296875,1.065370,1457600
1985-03-11,10.296875,10.375000,10.281250,10.328125,1.068604,1512000
1985-03-12,10.328125,10.406250,10.296875,10.359375,1.071837,1172800
1985-03-13,10.359375,10.359375,10.187500,10.234375,1.058904,2789600
1985-03-14,10.203125,10.312500,10.187500,10.265625,1.062137,1444800
1985-03-15,10.250000,10.312500,10.156250,10.203125,1.055671,2412000
1985-03-18,10.234375,10.265625,10.171875,10.234375,1.058904,1120000
1985-03-19,10.265625,10.515625,10.218750,10.515625,1.088004,1829600
